,Date,Open,High,Low,Close,Adj Close,Volume,MA for 10 days,MA for 14 days,MA for 22 days,EMA of 22 Days,UBB,LBB,EMA2,EMA3,TEMA,pctB,MACD,RSI
48,2/23/1981,0.439732,0.441964,0.439732,0.439732,0.019706,3528000,0.4649553,0.477040857,0.502942364,0.511671791,0.59661027,0.409274457,0.542044056,,,3.251651908,-0.040808135,34.37534966
49,2/24/1981,0.428571,0.428571,0.424107,0.424107,0.019006,4244800,0.4587053,0.472098214,0.495535682,0.50726067,0.587078181,0.403993183,0.539908989,,,2.197210862,-0.04308325,31.76526534
50,2/25/1981,0.450893,0.453125,0.450893,0.450893,0.020206,4872000,0.4551339,0.467793357,0.489448045,0.504435025,0.573625804,0.405270287,0.537765669,,,5.41980613,-0.043054622,40.15431522
51,2/26/1981,0.457589,0.459821,0.457589,0.457589,0.020506,2710400,0.4537946,0.463966786,0.484070591,0.502097614,0.559798227,0.408342954,0.535642398,,,6.503048008,-0.041180212,42.07161898
52,2/27/1981,0.473214,0.477679,0.473214,0.473214,0.021207,3690400,0.4544642,0.461096857,0.479606273,0.500662821,0.544567733,0.414644813,0.53358901,,,9.015989984,-0.03817541,46.38790419
53,3/2/1981,0.475446,0.477679,0.475446,0.475446,0.021307,2940000,0.4564731,0.460299643,0.476055136,0.49941544,0.531987151,0.420123122,0.531609166,,,9.891093434,-0.033510795,46.99546619
54,3/3/1981,0.470982,0.470982,0.46875,0.46875,0.021006,4043200,0.4566963,0.459024143,0.473112773,0.497904598,0.52285325,0.423372296,0.529680563,,,9.122892863,-0.028860526,45.33559982
55,3/4/1981,0.466518,0.466518,0.464286,0.464286,0.020806,3427200,0.4544642,0.458545857,0.4712865,0.496254551,0.519117035,0.423455965,0.527790142,,,8.536395215,-0.023823865,44.21442188
56,3/5/1981,0.464286,0.464286,0.462054,0.462054,0.020706,1344000,0.4549107,0.458227,0.470677773,0.494582007,0.518627202,0.422728343,0.525932663,,,8.201485861,-0.019989135,43.63337831
57,3/6/1981,0.462054,0.462054,0.457589,0.457589,0.020506,2900800,0.457366,0.458386429,0.469054364,0.492779119,0.516205419,0.421903308,0.52409747,,,7.568376045,-0.018715686,42.43207956
58,3/9/1981,0.424107,0.424107,0.421875,0.421875,0.018906,3830400,0.4555803,0.455197643,0.464995909,0.489334846,0.51232953,0.417662289,0.522192071,,,0.89000407,-0.017399276,34.2980866
59,3/10/1981,0.404018,0.404018,0.401786,0.401786,0.018006,7095200,0.4533482,0.449139,0.460024318,0.485095265,0.509944226,0.41010441,0.520177581,,,-1.666351284,-0.016054288,30.72969703
60,3/11/1981,0.390625,0.390625,0.386161,0.386161,0.017305,7464800,0.446875,0.444037,0.454241045,0.480318532,0.507612594,0.400869497,0.518032077,,,-2.75586848,-0.0170845,28.26638708
61,3/12/1981,0.401786,0.404018,0.401786,0.401786,0.018006,14812000,0.4412947,0.441804857,0.450385545,0.476537524,0.506160076,0.394611015,0.515817084,,,1.286426831,-0.01542466,33.96681806
62,3/13/1981,0.399554,0.399554,0.397321,0.397321,0.017805,57825600,0.4337054,0.4387755,0.446327091,0.472733821,0.504017859,0.388636322,0.51353537,,,1.50538427,-0.015510532,33.15598209
63,3/16/1981,0.412946,0.417411,0.412946,0.412946,0.018506,9307200,0.4274554,0.437978286,0.443689091,0.469870353,0.501960237,0.385417945,0.511240074,0.529098382,0.40498922,4.724131382,-0.015453282,38.67310153
64,3/17/1981,0.433036,0.4375,0.433036,0.433036,0.019406,10936800,0.423884,0.436702786,0.442167182,0.468110507,0.499683865,0.384650499,0.508988933,0.527707063,0.405071786,8.412429001,-0.015710795,44.96307215
65,3/18/1981,0.459821,0.464286,0.459821,0.459821,0.020606,9234400,0.4234375,0.436862214,0.442370091,0.467715375,0.500112815,0.384627367,0.50684909,0.52629741,0.408896266,13.02218319,-0.015982647,52.02763286
66,3/19/1981,0.457589,0.457589,0.455357,0.455357,0.020406,9452800,0.4227678,0.435586714,0.441862773,0.467127594,0.498908356,0.384817189,0.504802791,0.524876181,0.411850589,12.36551656,-0.015896808,50.85600303
67,3/20/1981,0.459821,0.464286,0.459821,0.459821,0.020606,3651200,0.422991,0.434470643,0.440645227,0.466780813,0.494756896,0.386533559,0.502855847,0.523449672,0.41522457,13.54374078,-0.015839622,52.01960607
68,3/23/1981,0.477679,0.482143,0.477679,0.477679,0.021407,5504800,0.4285714,0.435108429,0.441558409,0.46729702,0.497514931,0.385601887,0.501045442,0.522025811,0.420780545,16.45511726,-0.014966808,56.4608779
69,3/24/1981,0.477679,0.477679,0.475446,0.475446,0.021307,7039200,0.4359374,0.435905571,0.443486136,0.467682271,0.501109589,0.385862684,0.499356046,0.520610688,0.425589361,15.54632916,-0.014251378,55.76577061
70,3/25/1981,0.470982,0.470982,0.466518,0.466518,0.020906,1764000,0.4439731,0.436224429,0.444703682,0.467627329,0.503121206,0.386286158,0.497757696,0.519207929,0.428816828,13.73420795,-0.010531128,52.95846468
71,3/26/1981,0.459821,0.459821,0.457589,0.457589,0.020506,3068800,0.4495534,0.436224429,0.446225591,0.467154441,0.504136917,0.388314265,0.49622359,0.517819227,0.430611778,11.96220841,-0.004764801,50.23476194
72,3/27/1981,0.444196,0.444196,0.441964,0.441964,0.019806,3063200,0.4540177,0.437659357,0.445819727,0.465969723,0.503719133,0.387920322,0.494714056,0.516443807,0.430210809,9.334064448,0.00048641,45.79607546
73,3/30/1981,0.441964,0.446429,0.441964,0.441964,0.019806,2475200,0.4569195,0.440529214,0.4451095,0.464842499,0.502786837,0.387432163,0.493230186,0.51508111,0.429918048,9.454638482,0.003491192,45.79607546
74,3/31/1981,0.441964,0.441964,0.4375,0.4375,0.019606,3998400,0.4573659,0.444196286,0.443486136,0.463560518,0.499844023,0.38712825,0.49176254,0.513730149,0.429124083,8.937835188,0.006925288,44.49344951
75,4/1/1981,0.435268,0.435268,0.433036,0.433036,0.019406,8517600,0.4546874,0.446428429,0.441558409,0.46213139,0.496210777,0.386906041,0.490302655,0.512389609,0.427875812,8.440614859,0.008256032,43.17103203
76,4/2/1981,0.470982,0.473214,0.470982,0.470982,0.021106,7851200,0.4562499,0.451689929,0.441659864,0.462545202,0.496531603,0.386788124,0.488940281,0.511063424,0.431878185,15.34375925,0.010645545,55.32600049
77,4/3/1981,0.473214,0.475446,0.473214,0.473214,0.021207,4121600,0.4575892,0.455994786,0.442065682,0.463043376,0.49776447,0.386366893,0.487673819,0.509755139,0.43586381,15.59227928,0.011160667,55.92318311
78,4/6/1981,0.466518,0.466518,0.464286,0.464286,0.020806,5700800,0.4562499,0.458226929,0.442167136,0.463101328,0.498026394,0.386307879,0.486476257,0.508466551,0.438341765,13.95974897,0.012248135,52.87827441
79,4/7/1981,0.462054,0.462054,0.459821,0.459821,0.020606,2671200,0.4546874,0.458226929,0.442268591,0.462948525,0.498253191,0.386283991,0.485333362,0.507198582,0.440044071,13.13522097,0.012849096,51.37180882
80,4/8/1981,0.482143,0.486607,0.482143,0.482143,0.021607,5488000,0.4562499,0.460140214,0.445008045,0.463841628,0.502683516,0.387332575,0.484292618,0.505954705,0.444601735,16.43860454,0.012705981,57.83865746
81,4/9/1981,0.491071,0.493304,0.491071,0.491071,0.022007,3124800,0.4595981,0.462372357,0.449066455,0.465107227,0.506562144,0.391570765,0.483366311,0.504738834,0.449961583,17.30568607,0.012977872,60.12285868
82,4/10/1981,0.497768,0.5,0.497768,0.497768,0.022307,8366400,0.4651785,0.463807286,0.4541395,0.46662372,0.507953584,0.400325416,0.482560226,0.503554932,0.455745415,18.10726434,0.014208423,61.79491868
83,4/13/1981,0.497768,0.5,0.497768,0.497768,0.022307,4015200,0.4707589,0.465401714,0.458502318,0.468068388,0.510045313,0.406959323,0.481864378,0.502406188,0.461018218,17.61804425,0.016011327,61.79491868
84,4/14/1981,0.497768,0.5,0.497768,0.497768,0.022307,1663200,0.4767857,0.467633857,0.463068091,0.469444761,0.509436376,0.416699806,0.481269555,0.501295119,0.465820737,17.48354378,0.017742699,61.79491868
85,4/15/1981,0.475446,0.475446,0.473214,0.473214,0.021207,8512000,0.4808035,0.468749929,0.465807545,0.469619285,0.506546453,0.425068637,0.480712937,0.500220836,0.466939879,11.81802972,0.017599635,51.84093993
86,4/16/1981,0.448661,0.448661,0.446429,0.446429,0.020006,5969600,0.4783482,0.469068857,0.466416318,0.468546437,0.50546844,0.427364196,0.480133002,0.499179374,0.464419682,4.881886813,0.016025718,43.5918933
87,4/20/1981,0.459821,0.462054,0.459821,0.459821,0.020606,8836800,0.4770089,0.470344357,0.466416318,0.4681431,0.50546844,0.427364196,0.479562745,0.498168801,0.463909866,8.311149867,0.016025686,48.04342886
88,4/21/1981,0.491071,0.493304,0.491071,0.491071,0.022007,7134400,0.4796874,0.474170857,0.468039682,0.469202136,0.508120971,0.427958392,0.479071017,0.497190885,0.467584242,15.74615198,0.014094,56.64200893
89,4/22/1981,0.508929,0.511161,0.508929,0.508929,0.022807,4748800,0.4845982,0.479591786,0.470271864,0.471035764,0.513760117,0.42678361,0.478690416,0.496248971,0.473285014,18.8890984,0.013378596,60.64976322
90,4/23/1981,0.522321,0.524554,0.522321,0.522321,0.023407,14504000,0.488616,0.483258857,0.472301045,0.47340122,0.52108162,0.423520471,0.478440365,0.495347205,0.480229771,20.25407254,0.014780808,63.38320349
91,4/24/1981,0.522321,0.522321,0.517857,0.517857,0.023207,8764000,0.4912946,0.486447643,0.474228818,0.475450307,0.526739685,0.421717951,0.478299264,0.494488406,0.485941534,18.30841009,0.017384987,61.84113689
92,4/27/1981,0.515625,0.515625,0.513393,0.513393,0.023007,9632000,0.4928571,0.489955286,0.4763595,0.477198072,0.531306755,0.421412245,0.478247389,0.493674263,0.490526313,16.73982714,0.017757,60.26222182
93,4/28/1981,0.506696,0.506696,0.504464,0.504464,0.022607,8047200,0.4935267,0.493144071,0.478490182,0.478453267,0.534019599,0.422960765,0.478257071,0.492905013,0.493493599,14.67748799,0.017156045,57.12071326
94,4/29/1981,0.5,0.5,0.497768,0.497768,0.022307,3410400,0.4935267,0.494260143,0.481026727,0.47934191,0.534629113,0.427424341,0.478308011,0.492179907,0.495281601,13.12323275,0.016383391,54.81304008
95,4/30/1981,0.506696,0.511161,0.506696,0.506696,0.022707,3152800,0.4968749,0.495376214,0.483969091,0.480599735,0.535658516,0.432279666,0.478415461,0.491499032,0.498051853,14.39681984,0.015925468,57.29061836
96,5/1/1981,0.506696,0.511161,0.506696,0.506696,0.022707,4138400,0.5029016,0.496013929,0.487114364,0.481799088,0.5352539,0.438974828,0.478573879,0.490862228,0.500537853,14.06768283,0.01512416,57.29061836
97,5/4/1981,0.506696,0.506696,0.504464,0.504464,0.022607,3612000,0.5073659,0.496492214,0.490361091,0.482840215,0.532474456,0.448247726,0.478773353,0.490268889,0.502469475,13.34879652,0.015925442,56.39410382
98,5/5/1981,0.504464,0.504464,0.502232,0.502232,0.022507,4384800,0.508482,0.496811071,0.491781545,0.48373056,0.533259116,0.450303975,0.479004827,0.489718032,0.503895231,12.51954353,0.018257692,55.45948539
99,5/6/1981,0.491071,0.491071,0.488839,0.488839,0.021907,4737600,0.506473,0.497927143,0.492491773,0.483964999,0.533164331,0.451819215,0.479236153,0.489207188,0.503393726,9.101907308,0.018872974,50.0946059
100,5/7/1981,0.495536,0.497768,0.495536,0.495536,0.022207,2340800,0.5037945,0.501434786,0.493912227,0.484495788,0.532590785,0.45523367,0.479481155,0.488734731,0.503778631,10.41981212,0.017012904,52.56556188
